"","lon","lat"
"178",-84.8567932,29.7817695
"179",-84.6479124,30.5562947
"180",-82.820974,29.6871128
"181",-81.0754657,26.984415
"182",-85.354965,29.8001623
"183",-82.9501558,30.4755958
"184",-81.8224362,27.4501733
"185",-81.0754657,26.6105319
"186",-82.4752757,28.5578826
"187",-81.3400268,27.3400286
"188",-82.3017728,27.9903597
"189",-85.80766,30.8740806
"190",-80.543845,27.6947732
"191",-85.1894045,30.7150882
"192",-83.8897057,30.4311978
"193",-83.2077645,30.0299573
"194",-81.7787021,28.702847
"195",-81.9534815,26.6630286
"196",-84.1857115,30.4906177
"197",-82.820974,29.3178545
"198",-84.8567932,30.1507777
"199",-83.5070203,30.4586334
"200",-82.345189,27.4799195
"201",-82.12784,29.2787765
"202",-80.4103957,27.0804935
"203",-80.6326916,25.5516034
"204",-81.7825985,24.5557001
"205",-81.8224362,30.5927334
"206",-86.6611083,30.5773401
"207",-80.8986502,27.3462015
"208",-81.2518833,28.4844995
"209",-81.0754657,28.1019838
"210",-80.2767327,26.6514503
"211",-82.4319405,28.3232418
"212",-82.7778579,27.876394
"213",-81.6911559,27.8617347
"214",-81.7787021,29.6265157
"215",-81.4278984,29.9719419
"216",-80.543845,27.3225563
"217",-86.9824288,30.7689907
"218",-82.345189,27.1995986
"219",-81.2078164,28.7131688
"220",-82.0842901,28.6747526
"221",-82.9931607,30.2485096
"222",-83.6773928,30.0993767
"223",-82.345189,30.0745112
"224",-81.0754657,29.0279842
"225",-84.3542049,30.1301689
"226",-86.1751759,30.5640199
"227",-85.684578,30.548737
"228",-82.2583297,31.712238
"229",-82.8640623,31.2932161
"230",-82.4319405,31.5412085
"231",-84.4802606,31.2816037
"232",-83.2934086,33.0338083
"233",-83.4643551,34.378542
"234",-83.6986568,34.0142667
"235",-84.8150781,34.2660473
"236",-83.2077645,31.7664035
"237",-83.2077645,31.3118535
"238",-83.7199136,32.7865735
"239",-83.3789389,32.4087854
"240",-81.9971108,31.1510963
"241",-83.5496566,30.8730159
"242",-81.4718387,32.0236584
"243",-81.7787021,32.3595678
"244",-81.9534815,33.088805
"245",-83.9532571,33.2691443
"246",-84.6479124,31.5621777
"247",-81.6035062,30.898276
"248",-82.0842901,32.4241804
"249",-85.0649071,33.5642239
"250",-85.1479364,34.8981727
"251",-82.0842901,30.7917361
"252",-81.1196075,31.9994194
"253",-84.8150781,32.2952274
"254",-85.3136218,34.4632661
"255",-84.4802606,34.2514526
"256",-83.357567,33.9519347
"257",-85.0025539,31.6447931
"258",-84.375233,33.5571944
"259",-82.820974,30.9716985
"260",-84.564147,33.8999297
"261",-82.820974,31.5182285
"262",-83.8473015,31.2072856
"263",-82.2583297,33.5098514
"264",-83.4643551,31.1428037
"265",-84.7315563,33.3716708
"266",-83.9744262,32.7090798
"267",-83.804868,31.8875724
"268",-85.4788065,34.9109017
"269",-84.1435136,34.412912
"270",-84.5222189,30.8720058
"271",-84.2278796,33.7956441
"272",-83.2077645,32.1287268
"273",-83.804868,32.1593447
"274",-84.2278796,31.5439375
"275",-84.7315563,33.7290225
"276",-84.8984775,31.3901106
"277",-82.9501558,30.7503289
"278",-81.3839326,32.378148
"279",-82.8640623,34.0795372
"280",-82.3017728,32.5726629
"281",-81.909826,32.1427011
"282",-84.2278796,34.8580405
"283",-84.4802606,33.4502206
"284",-85.2308414,34.2828967
"285",-84.1435136,34.2358502
"286",-83.2077645,34.3645724
"287",-84.3962535,33.8033965
"288",-84.4802606,34.6935359
"289",-82.6267345,33.2422994
"290",-81.6035062,31.2624169
"291",-84.8567932,34.4891699
"292",-84.2278796,30.9050079
"293",-83.1649001,33.5186591
"294",-84.0167423,33.9190653
"295",-83.5496566,34.6478893
"296",-83.804868,34.30778
"297",-83.0361376,33.2882621
"298",-85.1900684,33.8021715
"299",-84.8567932,32.7032697
"300",-82.9501558,34.3500039
"301",-85.1479364,33.2990406
"302",-84.1435136,33.4347963
"303",-83.634843,32.4219655
"304",-83.2934086,31.5893221
"305",-83.5496566,34.1174511
"306",-83.7199136,33.3246924
"307",-82.605118,31.8234851
"308",-82.4319405,33.0740753
"309",-81.9971108,32.7781246
"310",-82.6915429,32.7308194
"311",-83.5070203,33.0002582
"312",-84.1435136,33.0765883
"313",-83.0361376,31.0291269
"314",-82.9931607,32.433014
"315",-84.1435136,31.8128435
"316",-81.4718387,31.842969
"317",-82.4319405,33.7875101
"318",-81.8224362,31.7755541
"319",-83.2934086,30.8600022
"320",-83.9744262,34.5813972
"321",-82.5185837,33.5258626
"322",-81.3839326,31.4748147
"323",-84.059029,32.3523607
"324",-83.2077645,34.0990245
"325",-84.5222189,32.328102
"326",-84.6897495,33.0561282
"327",-84.7315563,31.2008218
"328",-84.1857115,31.2230067
"329",-83.8897057,32.9746846
"330",-82.5185837,32.1802095
"331",-83.4643551,33.5794186
"332",-84.7315563,34.7928029
"333",-84.8984775,32.4794133
"334",-83.8473015,33.5544296
"335",-83.4430118,33.8231988
"336",-83.0361376,33.9119731
"337",-84.8984775,33.9142037
"338",-83.8260884,32.5892926
"339",-84.4592701,34.4497166
"340",-82.1713632,31.343806
"341",-84.3962535,33.0881873
"342",-85.1479364,34.0132398
"343",-83.4643551,32.232644
"344",-83.3789389,33.3069978
"345",-84.981754,31.8485969
"346",-83.3789389,34.9027286
"347",-84.6897495,31.7913398
"348",-82.0842901,33.3205339
"349",-84.0378894,33.6752492
"350",-84.3121264,32.2736136
"351",-81.6035062,32.7074673
"352",-84.8984775,30.9331429
"353",-84.3121264,33.2636732
"354",-83.2934086,34.5458998
"355",-84.8150781,32.1141344
"356",-84.2278796,31.9981596
"357",-84.5222189,32.6891322
"358",-82.8855961,33.5697878
"359",-82.0842901,32.0634576
"360",-84.2278796,32.5407455
"361",-82.9931607,31.8907647
"362",-84.4802606,31.7370079
"363",-83.8473015,30.8417409
"364",-83.5496566,31.4205597
"365",-82.345189,32.0795072
"366",-83.7199136,34.9208214
"367",-82.5834947,32.3870233
"368",-85.023346,33.0698575
"369",-83.634843,31.6976531
"370",-83.4643551,32.68356
"371",-83.9744262,34.8457601
"372",-84.3121264,32.9047684
"373",-85.354965,34.6858231
"374",-83.7199136,33.7708613
"375",-82.4752757,31.134411
"376",-82.6915429,33.4470392
"377",-82.820974,32.962702
"378",-81.909826,31.5092107
"379",-84.564147,32.0129889
"380",-82.6915429,32.0999794
"381",-83.7199136,34.6567728
"382",-84.981754,34.8033566
"383",-83.4643551,31.9611759
"384",-82.7778579,33.808264
"385",-83.1649001,32.8024682
"386",-83.8897057,31.5282489
"387",-91.135302,40.0577692
"388",-89.3606298,37.1670164
"389",-89.4742177,38.902985
"390",-88.8263006,42.3484976
"391",-90.7152749,39.9379573
"392",-89.4742177,41.3599156
"393",-90.658333,39.1733216
"394",-89.9626799,42.0385843
"395",-90.2620042,39.9398601
"396",-88.2461183,40.2138865
"397",-89.3226954,39.5672183
"398",-87.7763333,39.3824189
"399",-88.556531,38.7279431
"400",-89.6251646,38.5684442
"401",-88.2461183,39.5560011
"402",-87.697554,41.7376587
"403",-87.7763333,39.0499568
"404",-88.2071598,39.2653533
"405",-88.7108964,41.8329981
"406",-88.90306,40.1810363
"407",-88.2071598,39.7617631
"408",-88.0900762,41.8243831
"409",-87.7763333,39.7131223
"410",-88.050979,38.4267827
"411",-88.556531,39.0621773
"412",-89.0179332,39.0669568
"413",-88.2071598,40.4988592
"414",-88.90306,38.0157197
"415",-90.2244662,40.5531823
"416",-88.2461183,37.7107751
"417",-90.3748354,39.4029862
"418",-88.4016041,41.3500531
"419",-88.556531,38.0543187
"420",-91.135302,40.3849365
"421",-88.362785,37.4995097
"422",-90.9438468,40.8335548
"423",-90.0746767,41.361088
"424",-87.697554,40.7740275
"425",-89.3226954,37.7218304
"426",-88.0900762,39.0554965
"427",-88.864698,38.2267348
"428",-90.3748354,39.0704754
"429",-90.2244662,42.3148804
"430",-88.90306,37.4203764
"431",-88.4016041,41.987884
"432",-87.7763333,41.1790977
"433",-88.4403883,41.5507043
"434",-90.2244662,40.8776411
"435",-87.8271534,42.3689363
"436",-88.9413865,41.4363987
"437",-87.7763333,38.7157534
"438",-89.3226954,41.6789842
"439",-88.556531,40.8688604
"440",-89.3226954,40.061338
"441",-90.6773046,40.3885122
"442",-88.4016041,42.3039993
"443",-88.864698,40.5478429
"444",-89.0179332,39.8949055
"445",-89.9253233,39.2375268
"446",-89.9253233,38.9041402
"447",-88.864698,38.7313284
"448",-89.3606298,40.9972934
"449",-89.9253233,40.2271003
"450",-88.7493998,37.2478298
"451",-89.8130356,40.0221361
"452",-90.6773046,41.1985037
"453",-90.1869644,38.2742526
"454",-89.4742177,39.2363688
"455",-90.2244662,39.7341219
"456",-88.5951751,39.6020543
"457",-89.3226954,41.9969811
"458",-89.7755338,40.7156396
"459",-89.3226954,38.0612022
"460",-88.556531,40.0543526
"461",-90.8294002,39.5662363
"462",-88.5951751,37.417132
"463",-89.1324866,37.2512419
"464",-89.2847251,41.238474
"465",-89.7755338,38.0629321
