"","county_code","lon","lat"
"149","05133",-94.2743628,34.0346222
"150","05135",-91.443469,36.1675974
"151","05137",-92.2236667,35.8075142
"152","05139",-92.539603,33.1431092
"153","05141",-92.539603,35.6266232
"154","05143",-94.1513764,35.9307703
"155","05145",-91.7538817,35.2900612
"156","05147",-91.135302,35.1215846
"157","05149",-93.3388917,35.0810824
"158","10001",-75.4344727,39.1440612
"159","10003",-75.667356,39.5392979
"160","10005",-75.4344727,38.6530841
"161","12001",-82.3017728,29.6579549
"162","12003",-82.3017728,30.3931168
"163","12005",-85.684578,30.1805306
"164","12007",-82.1713632,29.9723818
"165","12009",-80.7214417,28.263933
"166","12011",-80.365865,26.190096
"167","12013",-85.1894045,30.3475302
"168","12015",-81.909826,26.8946009
"169","12017",-82.5185837,28.8848842
"170","12019",-81.7787021,29.9943564
"171","12021",-81.4278984,26.069985
"172","12023",-82.605118,30.1812696
"173","12027",-81.7787021,27.2142078
"174","12029",-83.1649001,29.5207227
"175","12031",-81.6035062,30.3500511
"176","12033",-87.3413599,30.6389408
"177","12035",-81.2518833,29.4086072
"178","12037",-84.8567932,29.7817695
"179","12039",-84.6479124,30.5562947
"180","12041",-82.820974,29.6871128
"181","12043",-81.0754657,26.984415
"182","12045",-85.354965,29.8001623
"183","12047",-82.9501558,30.4755958
"184","12049",-81.8224362,27.4501733
"185","12051",-81.0754657,26.6105319
"186","12053",-82.4752757,28.5578826
"187","12055",-81.3400268,27.3400286
"188","12057",-82.3017728,27.9903597
"189","12059",-85.80766,30.8740806
"190","12061",-80.543845,27.6947732
"191","12063",-85.1894045,30.7150882
"192","12065",-83.8897057,30.4311978
"193","12067",-83.2077645,30.0299573
"194","12069",-81.7787021,28.702847
"195","12071",-81.9534815,26.6630286
"196","12073",-84.1857115,30.4906177
"197","12075",-82.820974,29.3178545
"198","12077",-84.8567932,30.1507777
"199","12079",-83.5070203,30.4586334
"200","12081",-82.345189,27.4799195
"201","12083",-82.12784,29.2787765
"202","12085",-80.4103957,27.0804935
"203","12086",-80.6326916,25.5516034
"204","12087",-81.7825985,24.5557001
"205","12089",-81.8224362,30.5927334
"206","12091",-86.6611083,30.5773401
"207","12093",-80.8986502,27.3462015
"208","12095",-81.2518833,28.4844995
"209","12097",-81.0754657,28.1019838
"210","12099",-80.2767327,26.6514503
"211","12101",-82.4319405,28.3232418
"212","12103",-82.7778579,27.876394
"213","12105",-81.6911559,27.8617347
"214","12107",-81.7787021,29.6265157
"215","12109",-81.4278984,29.9719419
"216","12111",-80.543845,27.3225563
"217","12113",-86.9824288,30.7689907
"218","12115",-82.345189,27.1995986
"219","12117",-81.2078164,28.7131688
"220","12119",-82.0842901,28.6747526
"221","12121",-82.9931607,30.2485096
"222","12123",-83.6773928,30.0993767
"223","12125",-82.345189,30.0745112
"224","12127",-81.0754657,29.0279842
"225","12129",-84.3542049,30.1301689
"226","12131",-86.1751759,30.5640199
"227","12133",-85.684578,30.548737
"228","13001",-82.2583297,31.712238
"229","13003",-82.8640623,31.2932161
"230","13005",-82.4319405,31.5412085
"231","13007",-84.4802606,31.2816037
"232","13009",-83.2934086,33.0338083
"233","13011",-83.4643551,34.378542
"234","13013",-83.6986568,34.0142667
"235","13015",-84.8150781,34.2660473
"236","13017",-83.2077645,31.7664035
"237","13019",-83.2077645,31.3118535
"238","13021",-83.7199136,32.7865735
"239","13023",-83.3789389,32.4087854
"240","13025",-81.9971108,31.1510963
"241","13027",-83.5496566,30.8730159
"242","13029",-81.4718387,32.0236584
"243","13031",-81.7787021,32.3595678
"244","13033",-81.9534815,33.088805
"245","13035",-83.9532571,33.2691443
"246","13037",-84.6479124,31.5621777
"247","13039",-81.6035062,30.898276
"248","13043",-82.0842901,32.4241804
"249","13045",-85.0649071,33.5642239
"250","13047",-85.1479364,34.8981727
"251","13049",-82.0842901,30.7917361
"252","13051",-81.1196075,31.9994194
"253","13053",-84.8150781,32.2952274
"254","13055",-85.3136218,34.4632661
"255","13057",-84.4802606,34.2514526
"256","13059",-83.357567,33.9519347
"257","13061",-85.0025539,31.6447931
"258","13063",-84.375233,33.5571944
"259","13065",-82.820974,30.9716985
"260","13067",-84.564147,33.8999297
"261","13069",-82.820974,31.5182285
"262","13071",-83.8473015,31.2072856
"263","13073",-82.2583297,33.5098514
"264","13075",-83.4643551,31.1428037
"265","13077",-84.7315563,33.3716708
"266","13079",-83.9744262,32.7090798
"267","13081",-83.804868,31.8875724
"268","13083",-85.4788065,34.9109017
"269","13085",-84.1435136,34.412912
"270","13087",-84.5222189,30.8720058
"271","13089",-84.2278796,33.7956441
"272","13091",-83.2077645,32.1287268
"273","13093",-83.804868,32.1593447
"274","13095",-84.2278796,31.5439375
"275","13097",-84.7315563,33.7290225
"276","13099",-84.8984775,31.3901106
"277","13101",-82.9501558,30.7503289
"278","13103",-81.3839326,32.378148
"279","13105",-82.8640623,34.0795372
"280","13107",-82.3017728,32.5726629
"281","13109",-81.909826,32.1427011
"282","13111",-84.2278796,34.8580405
"283","13113",-84.4802606,33.4502206
"284","13115",-85.2308414,34.2828967
"285","13117",-84.1435136,34.2358502
"286","13119",-83.2077645,34.3645724
"287","13121",-84.3962535,33.8033965
"288","13123",-84.4802606,34.6935359
"289","13125",-82.6267345,33.2422994
"290","13127",-81.6035062,31.2624169
"291","13129",-84.8567932,34.4891699
"292","13131",-84.2278796,30.9050079
"293","13133",-83.1649001,33.5186591
"294","13135",-84.0167423,33.9190653
"295","13137",-83.5496566,34.6478893
"296","13139",-83.804868,34.30778
"297","13141",-83.0361376,33.2882621
"298","13143",-85.1900684,33.8021715
"299","13145",-84.8567932,32.7032697
"300","13147",-82.9501558,34.3500039
