State and County FIPS Code,Actual Per Capita Costs
12131,8762.67
12133,8980.83
,9190.46
13001,8930.01
13003,8809.02
13005,11086.9
13007,9868.26
13009,9604.31
13011,8397.29
13013,9311.37
13015,9885.09
13017,8483.05
13019,8704.52
13021,10702.8
13023,9407.74
13025,9032
13027,9598.84
13029,8415.77
13031,9861.73
13033,9221.01
13035,8403.05
13037,9752.78
13039,9241.53
13043,9927.65
13045,8910.68
13047,9237.67
13049,10408.85
13051,9370.45
13053,10350.15
13055,8640.38
13057,8848.37
13059,8684.18
13061,7975.55
13063,10294.38
13065,12218
13067,9156.49
13069,10278.43
13071,10338
13073,8143.5
13075,8924
13077,8534.55
13079,9769.23
13081,8826.59
13083,9406.59
13085,8554.09
13089,9640.58
13087,7593.49
13091,9907.27
13093,8928.12
13095,9197.34
13097,9787.98
13099,9461.77
13101,8418.26
13103,8524.68
13105,7793.67
13107,9545.6
13109,8967.55
13111,8293.9
13113,8152.65
13115,9617.67
13117,9163.47
13119,8771.12
13121,10154.7
13123,8298.7
13125,9538.96
13127,8875.48
13129,8887.89
13131,8238.17
13133,8295.44
13135,9012.48
13137,8141.88
13139,8818.19
13141,9349.01
13143,8900.87
13145,7780.36
13147,8791.64
13149,9174.63
13151,8560.35
13153,9801.72
13155,8502.98
13157,8640.18
13159,8556.03
13161,9498.37
13163,9569.32
13165,10062.36
13167,8848.85
13169,8965.52
13171,9357.44
13173,11470.71
13175,9247.27
13177,8070.47
13179,9161.35
13181,8325.68
13183,10110.72
13185,8765.75
13187,8673.22
13193,9263.28
13195,8367.37
13197,7782.47
13189,9800.78
13191,8791.31
13199,9644.9
13201,10597.44
13205,9853.23
13207,9740.83
13209,8901.78
13211,7974.74
13213,8594.41
13215,9483.13
13217,9404.95
13219,7955.11
13221,9106.32
13223,9296.93
13225,9938.88
13227,8233.88
13229,8274.59
13231,8752.09
13233,9784.9
13235,9355.99
13237,8751.56
13239,8029.33
13241,8346.8
13243,8201.2
13245,8836.48
13247,9695.88
13249,8943.5
13251,9090.61
13253,8964.82
13255,9059.07
13257,9104.04
13259,8409.12
13261,8247.32
13263,9194.54
13265,8607.35
13267,9276.42
13269,9323.99
13271,10471.92
13273,8550.88
13275,8893.03
13277,9186.06
13279,9093.28
13281,7207.51
13283,9886.68
13285,9018.6
13287,10259.27
13289,10161.43
13999,*
13291,7321.41
13293,8375.99
13295,9134.46
13297,9579.15
13299,9195.26
13301,9610.6
13303,8868.98
13305,10609.36
13307,7024.97
13309,10704.21
13311,8671.06
13313,8094.34
13315,11022.85
13317,9651.16
13319,9765.82
13321,8507.74
,7279.2
15001,6743.47
15003,7474.71
15007,6621.12
15009,7339.93
15999,*
,8056.53
19001,7937.92
19003,9068.21
19005,6898.4
19007,8603.71
19009,9586.08
19011,7869.33
19013,8804.56
19015,7845.37
19017,9201.78
19019,9068.83
19021,8155.07
19023,8698.42
19025,8980.99
19027,6897.19
19029,9298.79
19031,7096.52
19033,7653.66
19035,7556.4
19037,9212.2
19039,9861.33
19041,7382.36
19043,7612.68
19045,8814.97
19047,7392.41
19049,7420.52
19051,8759.55
19053,7558.81
19055,8298.39
19057,7563.81
19059,6790.44
19061,7225.54
19063,8932.06
19065,9647.83
19067,8072.84
19069,8725.38
19071,11162.24
19073,8299.61
19075,8629.3
19077,8900.63
19079,9257.09
19081,9565.8
19083,8648.39
19085,8768.5
19087,7175.96
19089,7744.25
19091,7587.56
19093,9040.63
19095,8514.63
19097,7614.32
19099,6540.36
19101,7680.32
19103,7244.67
19105,8664.06
19107,9041.72
19109,7598.77
19111,7264.43
19113,7867.64
19115,7185.73
19117,8621.91
19119,8355.38
19121,7497.58
19123,7430.69
19125,8139.72
19127,7385.25
19129,7588.49
19131,7731.29
19133,8714.78
19135,7510.56
19137,9316.09
19139,8361.44
19141,8642.59
19143,7625.29
19145,9764.32
19147,8299.3
19149,8113.01
19151,7895.6
19153,7462.18
19155,8155.35
19157,7321.2
19159,9552.53
19161,9130.63
19163,8799.85
19165,9368.56
19167,8482.8
19169,7336.11
19171,8386.12
19173,9479.26
19999,*
19175,7145.38
19177,9206.82
19179,8315.27
19181,7375.31
19183,8446.9
19185,8553.53
19187,7470.88
19189,7893.71
19191,7436.19
19193,8406.71
19195,7596.41
19197,10880.66
,7871.14
16001,7762.1
16003,6787.15
16005,8982.74
16007,8021.99
16009,7468.1
