State and County FIPS Code,Actual Per Capita Costs
2013,6604.23
2016,8054.45
2020,8629.88
2050,10158.21
2060,12170.52
2068,6809.42
2070,12792
2090,7795.96
2100,9851.17
2105,5374.67
2110,7648.73
2122,9205.76
2130,9791.62
2150,10025.86
2158,8720.91
2164,11861.12
2170,8264.35
2180,13016.45
2185,16116.99
2188,13891.28
2195,9672.06
2198,9410.59
2220,13500.84
2230,9900.64
2240,8242.68
2999,*
2261,9577.98
2275,12039.56
2282,6762.5
2290,7789.19
,8942.93
1001,8815.6
1003,8010.02
1005,8892.07
1007,9066.25
1009,8455.34
1011,9137.7
1013,9061.91
1015,9214.17
1017,7919.36
1019,9428.98
1021,8940.36
1023,9687.58
1025,8432.98
1027,7914.65
1029,8552.41
1031,7981.18
1033,9079.27
1035,9603.4
1037,8654.18
1039,9069.63
1041,8377.75
1043,8941.96
1045,8638.97
1047,9532.98
1049,8346.52
1051,8402.47
1053,9749.22
1055,9980.9
1057,9226.53
1059,9005.18
1061,8535.52
1063,9232.32
1065,9024.69
1067,8776.85
1069,8756.9
1071,9460.03
1073,9362.64
1075,8707.81
1077,8264.24
1079,8665.72
1081,7621.23
1083,8867.95
1085,9809.58
1087,7895.22
1089,9189.17
1091,9372.94
1093,8770.5
1095,9161.95
1097,9126.32
1099,8443.58
1101,8762.66
1103,8750.21
1105,8145.28
1107,9223.43
1109,8564.35
1111,9044.23
1113,9243.7
1117,8953.88
1115,9236.79
1119,8756.07
1121,9193.45
1123,9018.24
1125,9481.48
1999,*
1127,9307
1129,8606.46
1131,7969.64
1133,9259.06
,8537.12
5001,8006.51
5003,9965.5
5005,7501.58
5007,8358.19
5009,7683.94
5011,9620.21
5013,9067.23
5015,7523.04
5017,11068.89
5019,7137.2
5021,9420.56
5023,7468.06
5025,8925.76
5027,8746.85
5029,7703.08
5031,8742.07
5033,8662.02
5035,10141.64
5037,8933.53
5039,9026.91
5041,10978.29
5043,9657.21
5045,8030.69
5047,8805.79
5049,8270.2
5051,8674.15
5053,8828.34
5055,8506.93
5057,8758.56
5059,8507.58
5061,9234.19
5063,9055.14
5065,7743.99
5067,9784.52
5069,8827.11
5071,7417.2
5073,9056.95
5075,9395.57
5077,9142.99
5079,8398.2
5081,10548.73
5083,8835.38
5085,8396.88
5087,6759.44
5089,6984.56
5091,9203.05
5093,9068.56
5095,8998.65
5097,7566.37
5099,8571.09
5101,5825.47
5103,8416.89
5105,7832.31
5107,8758.71
5109,8403.77
5111,9083.41
5113,7793.42
5115,8064.24
5117,8975.82
5119,8734.65
5121,8255.53
5125,8358.82
5127,7422.94
5129,7869.95
5131,8715.48
5133,9616.3
5135,8412.28
5123,8759.82
5137,8574
5999,*
5139,8378.12
5141,7455.91
5143,8087.61
5145,8716.52
5147,9413.45
5149,8996.68
,9078.82
4001,10799.76
4003,7853.75
4005,9589.53
4007,9322.67
4009,7673.88
4011,6985.88
4012,9640.73
4013,9451.35
4015,8867.87
4017,9386.77
4019,8234.59
4021,9459.39
4023,6372.55
4999,*
4025,8028.15
4027,9623.74
,11155.99
6001,11500.3
6003,6208.58
6005,9155.86
6007,10103.06
6009,9271.83
6011,9842.47
6013,11062.57
6015,8298.98
6017,9281.78
6019,10560.69
6021,9505.02
6023,8037.92
6025,10611.35
6027,10910.29
6029,11139.13
6031,9780.42
6033,10788.47
6035,9001.74
6037,14105.93
6039,9241.04
6041,9981.51
6043,9180.6
6045,8624.7
6047,10397.01
6049,7713.84
6051,7870.37
6053,9566.43
6055,10273.5
6057,8262.73
6059,11618.16
6061,9433.73
6063,9029.67
6065,11125.91
6067,10386.68
6069,10403.62
6071,11946.02
6073,10610.58
6075,10909.04
6077,10648.71
6079,8298.87
6081,9838.53
6083,9003.44
6085,10882.03
6087,9351.44
6089,9572.32
6091,6985.26
6093,8064.73
6095,9919.61
6097,10011.77
6099,10612.29
6101,9681.48
6103,8523.17
6105,8264.21
6107,10032.46
6109,9592.33
6999,*
6111,10921.96
6113,8981.42
6115,9428.1
,8475.3
8001,9520.86
8003,7166.75
8005,9789.96
8007,7090.04
8009,10597.48
8011,7954.48
8013,8179.75
8014,8686.69
8015,7593.23
8017,10281.69
8019,6984.76
8021,9108.45
8023,6357.7
8025,9457.67
8027,6489.8
8029,6215.37
8031,9840.74
8033,7051.8
8035,9232.14
8037,7886.8
8041,8071.09
8039,7519.1
8043,7290.59
8045,8225.32
8047,6670.02
8049,8474.29
8051,6634.16
8053,4814.34
8055,6919.26
8057,8695.76
8059,9020.53
8061,10184.56
8063,10114.64
8067,6780.41
8065,7064.89
8069,7882.04
8071,8063.75
8073,9369.84
8075,8611.24
8077,6973.64
8079,7859.86
8081,9390.45
8083,7872.48
8085,6595.59
8087,9177.17
8089,8411.26
8091,5357.34
8093,6514.65
8095,12968.2
8097,9782.84
8099,9970.98
8101,8576.62
8103,12049.72
8105,7972.99
8107,6641.12
8109,5654.38
8111,5055.71
8113,6148.25
8115,7887.19
8117,5776.93
8119,6867.47
8999,*
8121,9133.47
8123,8543.27
8125,11089.27
,11531.02
9001,11855.13
9003,11063.6
9005,10482.76
9007,10819.4
9009,12617.71
9011,11074.44
9013,10371.37
9999,*
9015,10885.6
,11717.4
11001,11717.4
,10195.72
10001,10325.92
10003,10488.7
10005,9711.04
10999,*
,11065.88
12001,10485.05
12003,11492.43
12005,10373.52
12007,11242.81
12009,10213.6
12011,13250.16
12013,10071.63
12015,10035.73
12017,9260.81
12019,10476.27
12021,9306.41
12023,10818.92
12027,10923
12029,11174.96
12031,12052.51
12033,9783.47
12035,9504.13
12037,8915.27
12039,9140.29
12041,10020.68
12043,10620.4
12045,10092.74
12047,9620.34
12049,10526.6
12051,11343.53
12053,10530.27
12055,11395.53
12057,11878.4
12059,9776.55
12061,9830.5
12063,9550.1
12065,10614.22
12067,10578.9
12069,10342.49
12071,9898.35
12073,9749.09
12075,10095.3
12077,8651.69
12079,9626.03
12081,10169.86
12083,9920.28
12085,10289.36
12086,15615.74
12087,9515.87
12089,9665.44
12091,9076.27
12093,12160.49
12095,11634.98
12097,11108.86
12099,12410.75
12101,11086.43
12103,11767.53
12105,10506.46
12107,10546.02
12113,9399.04
12115,9584.59
12117,11376.74
12109,9929.43
12111,10901.93
12119,9216.64
12121,9861
12123,8367.67
12999,*
12125,11308.43
12127,9966.98
12129,9329.94
12131,8909.09
12133,10020.02
,9375.43
13001,9707.75
13003,9941.76
13005,11307.86
13007,9463.51
13009,9410.63
13011,8337.28
13013,9280.48
13015,9906.13
13017,9225.17
13019,9602.33
13021,10451.06
13023,10599.55
13025,9776.42
13027,9916.75
13029,8673.43
13031,9968.18
13033,9643.51
13035,8773.64
13037,8884.61
13039,9642.54
13043,10909.12
13045,9360.62
13047,9222.48
13049,11055.68
13051,9155.97
13053,9637.99
13055,9011.52
13057,8972.15
13059,8931.44
13061,7791.2
13063,10390.84
13065,12453.8
13067,9221.92
13069,10702.14
13071,10870.31
13073,8468.06
13075,9833.45
13077,9160.23
13079,10002.16
13081,8894.2
13083,9246.45
13085,9129.6
13089,9979.77
13087,8257.84
13091,10027.19
13093,9666.57
13095,9234.9
13097,10119.35
13099,9988.8
13101,8263.29
13103,8571.83
13105,8142.19
13107,9699.85
13109,9215.1
13111,8568.61
13113,8427.11
13115,9827.73
13117,9062.15
13119,8946.54
13121,10248.69
13123,8450.13
13125,9761.94
13127,9358.83
13129,8583.22
13131,8830.22
13133,8188.57
13135,9304.62
13137,8402.2
13139,9000.51
13141,9485.27
13143,9033.72
13145,8084.53
13147,8972.53
13149,10070.95
13151,8986.54
13153,9985.5
13155,8797.81
13157,9136.98
13159,8956.67
13161,9447.73
13163,9334.6
13165,10828.63
13167,10148.56
13169,8871.07
13171,9444.32
13173,10169.96
13175,9193.61
13177,8652.09
13179,8884.21
13181,8750.55
13183,9654.14
13185,9229.36
13187,8629.54
13193,9819.15
13195,8977.8
13197,6993.13
13189,9400.47
13191,9296.12
13199,9600.58
13201,11524.95
13205,9646.07
13207,9688.8
13209,9020.38
13211,8936.98
13213,8378.17
13215,9533.41
13217,9537.81
13219,8217.62
13221,8558.67
13223,9482.69
13225,10177.97
13227,8795.22
13229,8721.02
13231,9444.77
13233,9890.12
13235,10086.15
13237,8617
13239,8630.77
13241,8482.6
13243,8541.75
13245,9279.65
13247,9651.75
13249,8540.32
13251,9883.95
13253,9228.96
13255,9300.41
13257,9300.91
13259,9092.32
13261,8536.43
13263,8574.02
13265,11813.79
13267,9543.77
13269,9818.05
13271,11306.47
13273,8858.81
13275,9450.26
13277,9064.46
13279,9161.87
13281,7371.12
13283,9903.88
13285,9605.18
13287,9514.44
13289,10405.45
13999,*
13291,7560.43
13293,8604.88
13295,9431.32
13297,9596.11
13299,9454.96
13301,9079.91
13303,8891.06
13305,10078.41
13307,7409.86
13309,9534.85
13311,8582.1
13313,8099.1
13315,12374.84
13317,9529.41
13319,9260.91
13321,8352.01
,7613.8
15001,6894.55
15003,7859.88
15007,7120.74
15009,7664.14
15999,*
,8353.07
19001,9356.25
19003,9451.89
19005,7434.37
19007,8548.59
19009,9031.71
19011,7774.07
19013,8966.38
19015,7811.29
19017,9692.74
19019,9192.87
19021,7881.35
19023,9301.55
19025,8990.94
19027,7915.33
19029,9029.08
19031,8042.48
19033,8157.1
19035,7438.7
19037,9738.02
19039,10620.52
19041,8045.44
19043,8036.51
19045,9399.93
19047,7885.93
19049,7668.18
19051,10071.78
19053,8590.49
19055,8233.55
19057,8268.53
19059,6960.98
19061,7648.75
19063,8579.97
19065,9547.67
19067,9182.68
19069,8862.21
19071,11452.82
19073,8675.36
19075,8452.37
19077,9039.4
19079,9032.25
19081,9548.38
19083,9083.6
19085,10021.95
19087,8193.17
19089,8905.97
19091,9035.74
19093,10127.99
19095,8980.19
19097,8245.04
19099,6638.41
19101,8299.77
19103,7817.79
19105,8778.26
19107,8604.44
19109,8506.92
19111,7648.32
19113,8225.73
19115,8080.23
19117,7838.54
19119,8345.17
19121,7522.36
19123,7542.6
19125,7840.14
19127,7766.22
19129,8707.07
19131,7606.1
19133,9722.51
19135,8368.38
19137,9512.98
19139,8393.04
19141,9011.85
19143,8017.14
19145,9594.16
