"","project_id","week","day","hour","num_authors"
"2656",28281462,0,2,1,1
"2657",16226112,0,5,2,1
"2658",7188867,0,2,19,1
"2659",7139378,0,3,0,1
"2660",22695663,0,2,20,1
"2661",6081529,0,2,12,1
"2662",14690854,0,3,0,1
"2663",24961036,0,2,23,1
"2664",423191,53,31,13,1
"2665",30429676,0,2,2,1
"2666",7206336,0,3,10,1
"2667",28564279,0,2,14,1
"2668",22099874,0,3,1,1
"2669",13829679,0,2,10,1
"2670",14658071,0,2,18,1
"2671",1850746,0,5,20,1
"2672",30432256,0,2,20,1
"2673",7200808,0,3,5,1
"2674",31989625,0,3,17,1
"2675",22488938,0,4,5,1
"2676",6455144,0,2,7,1
"2677",4916468,0,1,17,1
"2678",12106,0,5,0,1
"2679",14666743,0,2,2,1
"2680",20963536,0,1,22,1
"2681",36548,0,3,1,1
"2682",30429398,0,1,13,1
"2683",10624865,0,2,15,1
"2684",7067859,0,4,0,1
"2685",4311349,0,2,10,1
"2686",1964896,0,3,1,1
"2687",13336287,0,2,10,1
"2688",13823258,0,3,12,1
"2689",189683,0,4,7,1
"2690",13928746,0,1,14,1
"2691",84880,0,1,12,1
"2692",14527492,0,3,0,1
"2693",7301907,0,3,12,1
"2694",6210038,0,2,15,1
"2695",7295487,0,2,12,1
"2696",14747351,0,1,8,1
"2697",26505691,0,3,6,1
"2698",29731898,0,1,1,1
"2699",3080471,0,4,0,1
"2700",10052291,0,3,13,1
"2701",20910641,0,1,14,1
"2702",6933618,0,2,11,1
"2703",30378061,0,2,10,1
"2704",12798749,0,2,19,1
"2705",22761382,0,2,21,1
"2706",3754049,0,4,18,1
"2707",10293106,0,2,11,1
"2708",6163798,0,4,8,1
"2709",14656923,0,3,14,1
"2710",36383888,53,31,2,1
"2711",8629657,0,3,9,1
"2712",26347868,0,1,14,1
"2713",10213927,0,5,21,3
"2714",4769312,0,3,20,1
"2715",30432947,0,2,6,1
"2716",35102519,0,1,19,1
"2717",7161823,0,2,22,1
"2718",14437748,0,3,14,1
"2719",8761768,0,1,19,1
"2720",10183334,53,30,0,1
"2721",30064475,0,2,21,1
"2722",14433737,0,3,17,1
"2723",22622772,0,1,16,1
"2724",19600816,0,2,17,1
"2725",9617607,53,31,23,1
"2726",14662289,0,1,20,1
"2727",30437435,0,2,12,1
"2728",14641718,0,1,15,1
"2729",13949119,0,2,7,1
"2730",12228387,0,2,20,1
"2731",3282005,0,2,0,1
"2732",7205278,0,2,8,1
"2733",14296577,0,2,20,1
"2734",1521551,0,2,13,1
"2735",7206765,0,2,13,1
"2736",7337146,0,2,11,1
"2737",4242161,0,5,21,1
"2738",1562570,0,3,15,1
"2739",30178932,0,2,18,1
"2740",14709585,0,3,19,1
"2741",30441223,0,2,22,1
"2742",15156234,0,1,1,1
"2743",7300365,0,3,10,1
"2744",25924244,0,3,14,1
"2745",14010734,0,3,12,1
"2746",5741864,0,2,11,1
"2747",7296676,0,3,4,1
"2748",24247109,0,2,14,1
"2749",5663359,0,3,16,1
"2750",6877844,0,3,3,1
"2751",21687466,0,1,7,1
"2752",10914989,0,3,14,1
"2753",363478,0,4,16,1
"2754",23610782,0,1,4,1
"2755",1984055,0,4,20,1
"2756",11458258,0,3,19,1
"2757",1982705,0,2,11,1
"2758",10628586,0,2,19,1
"2759",7208488,0,2,13,1
"2760",5367603,0,1,19,1
"2761",30402154,0,1,9,1
"2762",16722,0,3,17,1
"2763",7288628,0,3,8,1
"2764",13370364,0,2,0,1
"2765",14088346,0,3,3,1
"2766",3895920,0,1,16,1
"2767",25288734,0,2,18,1
"2768",18595543,0,1,12,1
"2769",1996276,53,31,0,1
"2770",7208336,0,2,16,1
"2771",162124,0,3,21,1
"2772",10045408,0,3,0,1
"2773",11763671,0,2,22,1
"2774",3671396,0,3,18,1
"2775",3049055,53,30,19,1
"2776",14655764,0,2,23,1
"2777",10257049,0,1,15,1
"2778",36947469,0,1,13,1
"2779",3713909,0,3,16,1
"2780",10604355,0,3,19,1
"2781",7133047,0,1,16,1
"2782",30164694,0,1,21,1
"2783",7023945,0,4,23,1
"2784",30443992,0,2,18,1
"2785",6195127,0,1,2,1
"2786",1474746,0,4,3,1
"2787",29131188,0,2,13,1
"2788",30442031,0,2,17,1
"2789",22512,0,2,11,1
"2790",16752575,0,3,13,1
"2791",1370310,0,2,12,1
"2792",13473334,0,3,0,1
"2793",14713773,0,2,18,1
"2794",7036397,0,4,19,1
"2795",6863571,0,2,20,1
"2796",7173960,0,3,19,1
"2797",6668844,0,3,10,1
"2798",459772,0,2,0,1
